2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(volume_24h, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(liquidity, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(holder_count, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(buy_count_24h, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(sell_count_24h, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(price_change_24h, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(contract_audit_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(is_mint_disabled, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(is_lp_locked, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(lp_lock_time, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(buy_tax, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(sell_tax, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(mention_count_24h, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(sentiment_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(engagement_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(meta_data, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) _configure_property(updated_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) Identified primary key columns: OrderedSet([Column('id', Integer(), table=<token_metrics>, primary_key=True, nullable=False)])
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenMetrics|token_metrics) constructed
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(token, _RelationshipDeclared)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(id, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(token_id, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(calculated_at, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(liquidity_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(market_cap_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(volume_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(contract_safety_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(ownership_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(liquidity_lock_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(honeypot_risk_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(mention_frequency_score, Column)
2025-07-11 17:33:40 | INFO     | logging:callHandlers:1736 - (TokenScore|token_scores) _configure_property(source_reliability_score, Column)
